i,ego s,ego d,s1,d1,s2,d2,s3,d3,s4,d4,s5,d5,s6,d6,s7,d7,s8,d8,s9,d9,s10,d10,s11,d11,s12,d12
0,2954.91,6.37869,3090.48,6.01841,3028.22,10.029,2950.83,10.32,2840.59,10.0084,2839.73,6.00895,2793.87,10.0725,3102.45,2.90753,2883.04,2.35689,2931.1,6.16678,2794.49,6.08059,2819.76,10.0059,3116.4,6.82162,
1,2954.92,6.37362,3094.02,6.01841,3031.37,10.029,2955.06,10.32,2843.83,10.0084,2843.39,6.00895,2796.72,10.0725,3105.84,2.90753,2886.33,2.35689,2935.27,6.16678,2798.2,6.08059,2822.96,10.0059,3119.58,6.82162,
2,2954.99,6.34121,3097.56,6.01841,3034.52,10.029,2959.28,10.32,2847.08,10.0084,2847.05,6.00895,2799.58,10.0725,3109.23,2.90753,2889.62,2.35689,2939.43,6.16678,2801.92,6.08059,2826.15,10.0059,3122.75,6.82162,
3,2955.16,6.26216,3101.1,6.01841,3037.67,10.029,2963.5,10.32,2850.32,10.0084,2850.71,6.00895,2802.43,10.0725,3112.62,2.90753,2892.91,2.35689,2943.6,6.16678,2805.63,6.08059,2829.35,10.0059,3125.93,6.82162,
4,2955.49,6.12507,3104.64,6.01841,3040.83,10.029,2967.72,10.32,2853.56,10.0084,2854.38,6.00895,2805.29,10.0725,3116,2.90753,2896.2,2.35689,2947.77,6.16678,2809.35,6.08059,2832.55,10.0059,3129.11,6.82162,
5,2956.01,5.92542,3108.18,6.01841,3043.98,10.029,2971.95,10.32,2856.8,10.0084,2858.04,6.00895,2808.14,10.0725,3119.39,2.90753,2899.5,2.35689,2951.93,6.16678,2813.06,6.08059,2835.75,10.0059,3132.29,6.82162,
6,2956.76,5.66461,3111.72,6.01841,3047.13,10.029,2976.17,10.32,2860.04,10.0084,2861.7,6.00895,2811,10.0725,3122.78,2.90753,2902.79,2.35689,2956.1,6.16678,2816.78,6.08059,2838.95,10.0059,3135.47,6.82162,
7,2957.77,5.34895,3115.26,6.01841,3050.28,10.029,2980.39,10.32,2863.29,10.0084,2865.36,6.00895,2813.86,10.0725,3126.17,2.90753,2906.08,2.35689,2960.26,6.16678,2820.49,6.08059,2842.15,10.0059,3138.65,6.82162,
8,2959.05,4.98872,3118.8,6.01841,3053.43,10.029,2984.61,10.32,2866.53,10.0084,2869.02,6.00895,2816.71,10.0725,3129.56,2.90753,2909.37,2.35689,2964.43,6.16678,2824.21,6.08059,2845.35,10.0059,3141.83,6.82162,
9,2960.61,4.59712,3122.34,6.01841,3056.58,10.029,2988.83,10.32,2869.77,10.0084,2872.68,6.00895,2819.57,10.0725,3132.95,2.90753,2912.67,2.35689,2968.6,6.16678,2827.92,6.08059,2848.55,10.0059,3145.01,6.82162,
10,2962.48,4.18934,3125.88,6.01841,3059.74,10.029,2993.06,10.32,2873.01,10.0084,2876.35,6.00895,2822.42,10.0725,3136.34,2.90753,2915.96,2.35689,2972.76,6.16678,2831.63,6.08059,2851.75,10.0059,3148.19,6.82162,
11,2964.65,3.78157,3129.42,6.01841,3062.89,10.029,2997.28,10.32,2876.25,10.0084,2880.01,6.00895,2825.28,10.0725,3139.73,2.90753,2919.25,2.35689,2976.93,6.16678,2835.35,6.08059,2854.94,10.0059,3151.36,6.82162,
12,2967.12,3.38997,3132.96,6.01841,3066.04,10.029,3001.5,10.32,2879.5,10.0084,2883.67,6.00895,2828.13,10.0725,3143.12,2.90753,2922.54,2.35689,2981.09,6.16678,2839.06,6.08059,2858.14,10.0059,3154.54,6.82162,
13,2969.88,3.02973,3136.5,6.01841,3069.19,10.029,3005.72,10.32,2882.74,10.0084,2887.33,6.00895,2830.99,10.0725,3146.51,2.90753,2925.83,2.35689,2985.26,6.16678,2842.78,6.08059,2861.34,10.0059,3157.72,6.82162,
14,2972.92,2.71408,3140.04,6.01841,3072.34,10.029,3009.95,10.32,2885.98,10.0084,2890.99,6.00895,2833.84,10.0725,3149.9,2.90753,2929.13,2.35689,2989.43,6.16678,2846.49,6.08059,2864.54,10.0059,3160.9,6.82162,
15,2976.21,2.45326,3143.58,6.01841,3075.49,10.029,3014.17,10.32,2889.22,10.0084,2894.65,6.00895,2836.7,10.0725,3153.29,2.90753,2932.42,2.35689,2993.59,6.16678,2850.21,6.08059,2867.74,10.0059,3164.08,6.82162,
16,2979.72,2.25361,3147.12,6.01841,3078.65,10.029,3018.39,10.32,2892.47,10.0084,2898.32,6.00895,2839.56,10.0725,3156.67,2.90753,2935.71,2.35689,2997.76,6.16678,2853.92,6.08059,2870.94,10.0059,3167.26,6.82162,
17,2983.43,2.11653,3150.66,6.01841,3081.8,10.029,3022.61,10.32,2895.71,10.0084,2901.98,6.00895,2842.41,10.0725,3160.06,2.90753,2939,2.35689,3001.92,6.16678,2857.64,6.08059,2874.14,10.0059,3170.44,6.82162,
18,2987.29,2.03748,3154.2,6.01841,3084.95,10.029,3026.84,10.32,2898.95,10.0084,2905.64,6.00895,2845.27,10.0725,3163.45,2.90753,2942.29,2.35689,3006.09,6.16678,2861.35,6.08059,2877.34,10.0059,3173.62,6.82162,
19,2991.27,2.00507,3157.74,6.01841,3088.1,10.029,3031.06,10.32,2902.19,10.0084,2909.3,6.00895,2848.12,10.0725,3166.84,2.90753,2945.59,2.35689,3010.25,6.16678,2865.06,6.08059,2880.54,10.0059,3176.8,6.82162,
